title,month_day,year,notes,type,info-source
Andy Warhol,08-06,1928,,birthday,
Yoko Ono,02-18,1933,,birthday,
Bonnie and Clyde,05-23,1934,"Bienville Parish, LA, USA",death,
John Lennon,10-09,1940,,birthday,
Sterling Morrison,08-29,1942,,birthday,
Tom Rapp,03-08,1947,,birthday,
Johnathan Richman,05-16,1951,,birthday,
Stan Demeski,08-02,1960,,birthday,
Britta Phillips,06-11,1963,,birthday,
Dean Wareham,08-01,1963,,birthday,
Damon Krukowski,09-06,1963,,birthday,
Naomi Yang,09-15,1964,,birthday,
John Lennon,12-08,1980,,death,
Andy Warhol,02-22,1987,,death,
Naomi buys her bass,05-02,1987,,event,
Galaxie 500's first rehearsal,05-27,1987,,event,
Galaxie 500's first recording session,08-11,1987,,event,
Galaxie 500 - On Fire (UK),10-23,1989,,release,
Sterling Morrison,08-30,1995,,death,
Luna's Penthouse released (US),08-08,1995,,release,
Galaxie 500 box set (US),09-24,1996,,release,
Luna - Pup Tent (US),07-29,1997,,release,
Luna - The Days of Our Nights (UK),05-03,1999,,release,
Damon & Naomi with Ghost (US),09-05,2000,,release,
Dean & Britta - L'avventura,06-03,2003,,release,
Luna - Rendezvous (US),09-28,2004,,release,
Galaxie 500 - Peel Sessions (UK),11-14,2005,,release,
Damon & Naomi - The Earth is Blue (US),02-14,2005,This was the official release day despite being a Monday,release,
Dean & Britta - Words You Used to Say (UK),10-30,2006,,release,
Damon & Naomi - Within These Walls (US),09-25,2007,,release,
Dean & Britta - Back Numbers (US),03-27,2007,,release,
Dean & Britta - White Horses (UK),11-05,2007,,release,
Dean & Britta - Variations (EP) (US),01-29,2008,,release,
Damon & Naomi - The Sub Pop Years,08-31,2009,This was the official release day despite being a Monday,release,
Damon & Naomi - 1001 Nights,09-29,2009,,release,
Damon & Naomi - False Beats and True Hearts (UK),05-09,2011,,release,
Damon & Naomi - False Beats and True Hearts (US),05-17,2011,,release,
Dean Wareham - Emancipated Hearts (US),10-15,2013,,release,
Dean Wareham - Emancipated Hearts (UK),11-04,2013,,release,
Damon & Naomi - Fortune (US),02-17,2015,,release,
Britta Phillips ~ Luck or Magic,04-29,2016,,release,
Dean Wareham - Luna Demos,09-03,2018,Release party - not official release date,release,
Dean Wareham vs Cheval Sombre,10-26,2018,,release,
Luna - Something in The Air (UK),06-20,2019,,release,
Dean Wareham - I Have Nothing to Say to The Mayor of LA,10-15,2021,,release,
Angel Corpus Christi - Bewitched a tribute to Luna,06-02,2023,,release,
Galaxie 500 - Uncollected Noise New York ’88-’90,09-20,2024,,release,
This Is Our Music released,10-01,2024,,release,
Dean Wareham - That’s the Price of Loving Me,03-28,2025,,release,
Damon & Naomi - What's Past is Prologue,03-06,2026,,release,
Sean Eden,03-05,,,birthday,
Lee Wall,04-23,,,birthday,
Justin Harwood,07-06,,,birthday,
Dean & Britta & Sonic Boom - A Peace of Us,11-22,2024,,release,
Galaxie 500 - Today record release party,10-21,1988,,event,
Galaxie 500's Blue Thunder EP enters the UK charts,02-17,1990,#97 for one week,event,https://www.officialcharts.com/artist/2117/galaxie-500/
Dean Wareham - Black Postcards: A Rock and Roll Romance,03-13,2008,,published,
