Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
Miscellaneous,Damon & Naomi,,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/00-misc/damon-and-naomi-misc-mosaic.jpg,,
Ptolemaic Terrascope Benefit EP: Terrastock April 25-27 1997,Damon & Naomi,,7 EP,,,1997,Enraptured,RAPT4513,^However - The Bevis Frond|^Red Brown Waves - Silver Apples,14 Auspicious Dreams|^Last Dream Song - Flying Saucer Attack,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/various-artists-ptolemaic-terrascope-benefit.jpg,,|howeverthebevisfrond|redbrownwavessilverapples|14auspiciousdreams|lastdreamsongflyingsaucerattack|||
"Shibuya O Nest, Tokyo, Japan - 2008",Damon & Naomi,,DVD,,,2008,(no label),,Eye of the Storm|The Well|Ueno Station|On The Aventine|Defibrillation|The New World|Within These Walls|This Car Climbed Mt. Washington|Lilac Land|Stars Never Fade|Love|Cruel Queen,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/damon-and-naomi-shibuya-o-nest-2005.jpg,,|eyeofthestorm|thewell|uenostation|ontheaventine|defibrillation|thenewworld|withinthesewalls|thiscarclimbedmtwashington|lilacland|starsneverfade|love|cruelqueen||||
"Shibuya O Nest, Tokyo, Japan - June 24, 2005",Damon & Naomi,,DVD,,,2006,(no label),,New York City|House of Glass|Turn of the Century|Song to the Siren|Awake in a Muddle|Beautiful Close Double|The Robot Speaks|The Wind's Twelve Quarters|A Second Life|Araçá Azul|The Earth is Blue|Ueno Station|Sendou Kouta|Blue Thunder,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/damon-and-naomi-shibuya-o-nest-2008.jpg,,|newyorkcity|houseofglass|turnofthecentury|songtothesiren|awakeinamuddle|beautifulclosedouble|therobotspeaks|thewindstwelvequarters|asecondlife|aracaazul|theearthisblue|uenostation|sendoukouta|bluethunder||||
After Tomorrow,Damon & Naomi,Magic Hour,10,,,1994,Ché,CHE 18,After Tomorrow|World of One,Permanent Green Light,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magic-hour-after-tomorrow.jpg,,|aftertomorrow|worldofone|permanentgreenlight|||
Heads Down,Damon & Naomi,Magic Hour,7,,,1993,Twisted Village,TW-1028,Heads Down,Heads Down,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_headsdown.jpg,,|headsdown|headsdown|||
I Had a Thought,Damon & Naomi,Magic Hour,7,,,1995,Ché,CHE 29,I Had a Thought,America,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magic-hour-i-had-a-thought.jpg,,|ihadathought|america|||
Magic Moments,Damon & Naomi,Magic Hour,Digital,,,1993,Twisted Village,,Heads Down|Heads Down|Out Of Touch|Permanent Green Light|Jonathan and Charles|Something Else|America|Sunset Variations|Untitled,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magic-hour-magic-moments.jpg,,|headsdown|headsdown|outoftouch|permanentgreenlight|jonathanandcharles|somethingelse|america|sunsetvariations|untitled||||
No Excess is Absurd,Damon & Naomi,Magic Hour,LP,,,1994,Ché,CHE 20LP,Isn't a Way|Always Leaving Never|Sally Free and Easy,After Tomorrow|Lower|The Last Mistake|Heads Down,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_noexcess.jpg,,|isntaway|alwaysleavingnever|sallyfreeandeasy|aftertomorrow|lower|thelastmistake|headsdown|||
No Excess is Absurd,Damon & Naomi,Magic Hour,CD,,,1994,Ché,CHE 20,Isn't a Way|Always Leaving Never|Sally Free and Easy|After Tomorrow|Lower|The Last Mistake|Heads Down,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_noexcess.jpg,,|isntaway|alwaysleavingnever|sallyfreeandeasy|aftertomorrow|lower|thelastmistake|headsdown||||
No Excess is Absurd,Damon & Naomi,Magic Hour,CD,,,1994,Twisted Village,TW-1031,Isn't a Way|Always Leaving Never|Sally Free and Easy|After Tomorrow|Lower|The Last Mistake|Heads Down,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magic-hour-no-excess-box.jpg,,|isntaway|alwaysleavingnever|sallyfreeandeasy|aftertomorrow|lower|thelastmistake|headsdown||||
Secession 96,Damon & Naomi,Magic Hour,LP,,,1996,Twisted Village,TW-1039,Sunset One|Rosebud|Sunrise|Sunset Two,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_secession.jpg,,|sunsetone|rosebud|sunrise|sunsettwo||||
Will They Turn You On Or Will They Turn On You,Damon & Naomi,Magic Hour,LP,,,1995,Ché,CHE 30LP,Something Else|I Had a Thought|Chance Was|When I Remembered|Jonathan and Charles,Passing Words,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_willthey.jpg,,|somethingelse|ihadathought|chancewas|wheniremembered|jonathanandcharles|passingwords|||
Will They Turn You On Or Will They Turn On You,Damon & Naomi,Magic Hour,CD,,,1995,Twisted Village,TW-1035,Something Else|I Had a Thought|Chance Was|When I Remembered|Jonathan and Charles|Passing Words,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_willthey.jpg,,|somethingelse|ihadathought|chancewas|wheniremembered|jonathanandcharles|passingwords||||
Gathered Leaves,Damon & Naomi,Various Artists,LP,,,2016,Sugarbush,SB023,Eye of the Storm,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/various-artists-gathered-leaves-sugarbush-lp.jpg,,|eyeofthestorm||||
