slug,artistname,year,date,date-added,series,venue,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,notes
dean-wareham,Dean Wareham,2003,Sat Mar 01 2003 00:00:00 GMT+0000 (Greenwich Mean Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"Joes Pub, New York NY, USA",,,,No Train to Stockholm,,,,,,Songs of Protest: The Vietnam Songbook event.
dean-and-britta,Dean & Britta,2003,Wed Jun 18 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"Troubadour, Los Angeles CA, USA",,,,,,,,,,
dean-and-britta,Dean & Britta,2003,Thu Jun 19 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"Great American, San Francisco CA, USA",,,,Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Mermaid Eyes|Indian Summer [The Doors]|Your Baby|Threw It Away|Knives From Bavaria|Moonshot|Ginger Snaps|Hearing Voices|Bonnie and Clyde,,,,,,Setlist: scan
dean-and-britta,Dean & Britta,2003,Sat Jun 21 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"Double Door, Chicago IL, USA",,,,Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Indian Summer [The Doors]|Mermaid Eyes|Your Baby|Threw It Away|Moonshot|Ginger Snaps|Knives From Bavaria|Hearing Voices|Bonnie and Clyde,,,,,,
dean-and-britta,Dean & Britta,2003,Tue Jun 24 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"Village Underground, New York NY, USA",,,,Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Indian Summer|Your Baby|Mermaid Eyes|Threw It Away|Moonshot|Ginger Snaps|Knives From Bavaria|Hearing Voices|Bonnie and Clyde,,,,,,
dean-and-britta,Dean & Britta,2003,Wed Jun 25 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"TT the Bears, Cambridge MA, USA",,,,,,,,,,
dean-and-britta,Dean & Britta,2003,Tue Jul 01 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"FNAC, Madrid, Spain",,,,,,,,,,in store
dean-and-britta,Dean & Britta,2003,Mon Jul 07 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"KCRW, Santa Monica CA, USA",Radio session,,,,,,,,,From the Museum of TV and Radio in NYC
dean-and-britta,Dean & Britta,2003,Sat Aug 16 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"WFUV, New York NY, USA",Radio session,,,,,,,,,‘Idiots Delight with Vin Scelsa’
dean-wareham,Dean Wareham,2003,Wed Oct 01 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"ZULU Records, Vancouver, Canada",,,,,,,,,,"Exact date unknownInstore performance with a pick up band (The Secret 3).We did a couple of Galaxie 500 songs, and some from the Dean &amp; Britta record [L'Avventura].Dean Wareham"
dean-and-britta,Dean & Britta,2003,Sat Oct 18 2003 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"Sin-e, New York NY, USA",,,,,,,,,,$10. Benefit for Yeti magazine. Short set.
dean-and-britta,Dean & Britta,2004,Sun Jul 11 2004 00:00:00 GMT+0100 (British Summer Time),Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,"Triple Door, Seattle WA, USA",,,,,,,,,,
