Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
Singles,Dean & Britta,,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_sonic_souvenirs.jpg,,
Sonic Souvenirs,Dean & Britta,,CD,,,2003,Jetset,TWA68,Your Baby|Hear the Wind Blow|Knives From Bavaria|Moonshot|Ginger Snaps|Your Baby,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_sonic_souvenirs.jpg,,|yourbaby|hearthewindblow|knivesfrombavaria|moonshot|gingersnaps|yourbaby||||
Soundtrack EP,Dean & Britta,,Digital,,,2006,Double Feature,DA-DBL-HOLIDAY-001,Hey You|Family Conference|Park Slope|Daniel and Boone|Around and Around Again,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_soundtrack.jpg,,|heyyou|familyconference|parkslope|danielandboone|aroundandaroundagain||||
Words You Used to Say,Dean & Britta,,CD,,,2006,Zoë,01143-2009-2,Words You Used to Say|We're Not Supposed to Be Lovers|Since I Lay My Burden Down|Colours|Distractions (Part 1),,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_words.jpg,,|wordsyouusedtosay|werenotsupposedtobelovers|sinceilaymyburdendown|colours|distractionspart||||
He's Coming Home / Old Toy Trains,Dean & Britta,,7,,,2007,Chimney Rocks!,PAD-002,He's Coming Home,Old Toy Trains,,,,,|hescominghome|oldtoytrains|||
White Horses,Dean & Britta,,7,,,2007,Sonic Cathedral,SCR006,White Horses,White Horses,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_whitehorses.jpg,,|whitehorses|whitehorses|||
Variations,Dean & Britta,,CD,,,2008,(no label),,Singer Sing|Say Goodnight|Our Love Will Still be There|Wait For Me|Words You Used to Say|Song of You|Singer Sing,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_variations.jpg,,|singersing|saygoodnight|ourlovewillstillbethere|waitforme|wordsyouusedtosay|songofyou|singersing||||
Variations,Dean & Britta,,CD,,,2008,,,Singer Sing|Say Goodnight|Our Love Will Still be There|Wait For Me|Words You Used to Say|Song of You|Singer Sing,,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dab_variations.jpg,,|singersing|saygoodnight|ourlovewillstillbethere|waitforme|wordsyouusedtosay|songofyou|singersing||||
I'll Keep It With Mine,Dean & Britta,,7,,,2010,Great Pop Supplement,GPS55,I'll Keep It With Mine,It Don't Rain in Beverly Hills,,,https://media.fullofwishes.co.uk/07-dean_and_britta/sleeves/dean-and-britta-ill-keep-it-with-mine-the-great-pop-supplement.jpg,,|illkeepitwithmine|itdontraininbeverlyhills|||
Love,Dean & Britta,,7,,,2014,Formosa Punk Records,SHADE 017,Love,Fallin' in Love,,,https://media.fullofwishes.co.uk/05-dean_wareham/sleeves/dean-wareham-love-formosa-punk.jpg,,|love|fallininlove|||
Neon Lights EP,Dean & Britta,,12,,,2020,Double Feature,,Neon Lights|Neon Lights,Neon Lights|Neon Lights,,,https://www.fullofwishes.co.uk/images/dean-britta-neon-lights-ep-cover.jpg,,|neonlights|neonlights|neonlights|neonlights|||
The Carnival is Over,Dean & Britta,,7,,,2020,PIAPTK,PIAPTK-285,The Carnival is Over,,,,https://www.fullofwishes.co.uk/images/dean-and-britta-the-carnival-is-over-sleeve.jpg,,|thecarnivalisover||||
