Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,AHFOW,My-record-collection
On Fire,Galaxie 500,,MASTER,,,1989,,,,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,,,[034] Galaxie 500 - On Fire|https://www.fullofwishes.co.uk/2023/05/15/my-record-collection-034-galaxie-500-on-fire/;[040] Today / On Fire / This Is Our Music (2009 LPs)|https://www.fullofwishes.co.uk/2023/06/05/my-record-collection-040-today-on-fire-this-is-our-music/;[095] Galaxie 500 - On Fire (cassette)|https://www.fullofwishes.co.uk/2023/12/04/my-record-collection-092-galaxie-500-on-fire-cassette/;[172] Galaxie 500 - On Fire (CD)|https://www.fullofwishes.co.uk/2024/08/26/my-record-collection-165-galaxie-500-on-fire-cd/;[181] Galaxie 500 - On Fire / Peel Sessions (2xCD)|https://www.fullofwishes.co.uk/2024/09/26/my-record-collection-174-galaxie-500-on-fire-peel-sessions-2xcd/;[226] Galaxie 500 - On Fire (Video Arts Japan CD)|https://www.fullofwishes.co.uk/2025/02/24/my-record-collection-galaxie-500-on-fire-video-arts-japan-cd/;[253] Galaxie 500 - On Fire (MC)|https://www.fullofwishes.co.uk/2025/05/26/my-record-collection-galaxie-500-on-fire-mc/;
On Fire,Galaxie 500,,LP,10,GB,1989,Rough Trade,ROUGH 146,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,,
On Fire,Galaxie 500,,MC,10,GB,1989,Rough Trade,ROUGH C146,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,,Loading...,,
On Fire,Galaxie 500,,CD,10,GB,1989,Rough Trade,ROUGH CD 146,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire_roughcd146_001.jpg,,Loading...,AHFOW 10/056,https://www.fullofwishes.co.uk/2024/08/26/my-record-collection-165-galaxie-500-on-fire-cd/
On Fire,Galaxie 500,,LP,10,US,1989,Rough Trade,ROUGH US 74,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,,
On Fire,Galaxie 500,,CD,10,US,1989,Rough Trade,ROUGH US 74 CD,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,,
On Fire,Galaxie 500,,CD,13,JP,1997,Videoarts Music,VACK-1120,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,AHFOW 10/051,https://www.fullofwishes.co.uk/2025/02/24/my-record-collection-galaxie-500-on-fire-video-arts-japan-cd/
On Fire,Galaxie 500,,CD,13,US,1997,Rykodisc,RCD 10357,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,,
On Fire,Galaxie 500,,CD,13,JP,2008,Videoarts Music,VACK 1369,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire_vack1369_001.jpg,,Loading...,,
On Fire,Galaxie 500,,LP,10,US,2009,20|20|20,202020.08LP,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,,
On Fire,Galaxie 500,,LP,10,GB,2010,Domino,EPGJPPTGJC,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,,
On Fire / Peel Sessions,Galaxie 500,,2×CD,21,GB,2010,Domino,Domino,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,Submission|Final Day|When Will You Come Home|Moonshot|Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,AHFOW 10/075,https://www.fullofwishes.co.uk/2024/09/26/my-record-collection-174-galaxie-500-on-fire-peel-sessions-2xcd/
On Fire / Peel Sessions,Galaxie 500,,2×CD,21,US,2010,20|20|20,202020.08,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,Submission|Final Day|When Will You Come Home|Moonshot|Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,,Loading...,,
