Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index,AHFOW,My-record-collection
This Is Our Music,Galaxie 500,,MASTER,,,1990,,,,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,,,[032] Galaxie 500 - This Is Our Music (Rough Trade UK CD)|https://www.fullofwishes.co.uk/2023/05/08/my-record-collection-032-galaxie-500-this-is-our-music/;[040] Today / On Fire / This Is Our Music (2009 LPs)|https://www.fullofwishes.co.uk/2023/06/05/my-record-collection-040-today-on-fire-this-is-our-music/;[052] Galaxie 500 - This Is Our Music (CWNN LP)|https://www.fullofwishes.co.uk/2023/07/17/my-record-collection-052-galaxie-500-this-is-our-music/;[060] Galaxie 500 - This Is Our Music (CWNN CD)|https://www.fullofwishes.co.uk/2023/08/10/my-record-collection-059-galaxie-500-this-is-our-music/;[206] Galaxie 500 - This Is Our Music (Rough Trade UK LP)|https://www.fullofwishes.co.uk/2024/12/12/my-record-collection-196-galaxie-500-this-is-our-music-rough-trade-lp/;[212] Galaxie 500 - This Is Our Music (Newbury Comics blue swirl)|https://www.fullofwishes.co.uk/2025/01/06/my-record-collection-galaxie-500-this-is-our-music-newbury-comics-blue-swirl/;[227] Galaxie 500 - This Is Our Music (MC)|https://www.fullofwishes.co.uk/2025/02/27/my-record-collection-galaxie-500-this-is-our-music-mc/;[243] Galaxie 500 - This Is Our Music (Rough Trade LP)|https://www.fullofwishes.co.uk/2025/04/21/my-record-collection-galaxie-500-this-is-our-music-rough-trade-lp/;[282] Galaxie 500 - This Is Our Music (Video Arts Japan CD)|https://www.fullofwishes.co.uk/2025/09/04/my-record-collection-galaxie-500-this-is-our-music-japanese-cd/;
This Is Our Music,Galaxie 500,,LP,9,GB,1990,Rough Trade,ROUGH 156,Fourth of July|Hearing Voices|Spook|Summertime|Way Up High,"Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo|||,,
This Is Our Music,Galaxie 500,,CD,9,GB,1990,Rough Trade,ROUGH CD 156,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_tiom_rt_cd_front.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo||||,AHFOW 10/078,https://www.fullofwishes.co.uk/2023/05/08/my-record-collection-032-galaxie-500-this-is-our-music/
This Is Our Music,Galaxie 500,,CD,9,GB,1990,Rough Trade,ROUGH CD 156L,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo||||,AHFOW 10/073,https://www.fullofwishes.co.uk/2023/08/10/my-record-collection-059-galaxie-500-this-is-our-music/
This Is Our Music,Galaxie 500,,CD,9,US,1990,Rough Trade America,RUS 86-2,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo||||,,
This Is Our Music,Galaxie 500,,CD,10,JP,1997,Videoarts Music,VACK-1121,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now",,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo|hereshecomesnow||||,AHFOW 10/049,
This Is Our Music,Galaxie 500,,CD,10,US,1997,Rykodisc,RCD 10358,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now",,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo|hereshecomesnow||||,,
This Is Our Music,Galaxie 500,,CD,10,JP,2008,Videoarts Music,VACK 1370,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now",,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo|hereshecomesnow||||,,
This Is Our Music,Galaxie 500,,LP,9,US,2009,20|20|20,202020.09LP,Fourth of July|Hearing Voices|Spook|Summertime|Way Up High,"Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo|||,,
This Is Our Music / Copenhagen,Galaxie 500,,2×CD,19,GB,2010,Domino,Domino,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now","Decomposing Trees|Fourth of July|Summertime|Sorry|When Will You Come Home|Spook|Listen, the Snow Is Falling|Here She Comes Now|Don't Let Our Youth Go to Waste",,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,,|fourthofjuly|hearingvoices|spook|summertime|wayuphigh|listenthesnowisfalling|sorry|meltaway|kingofspainparttwo|hereshecomesnow|decomposingtrees|fourthofjuly|summertime|sorry|whenwillyoucomehome|spook|listenthesnowisfalling|hereshecomesnow|dontletouryouthgotowaste|||,AHFOW 10/079,
