slug,artistname,year,date,disambiguate,date-added,series,venue,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes
luna,Luna,1992,1992-01-17,,1994-01-01,,"CBGBs, New York NY, USA",cbgbs-new-york-ny-usa,,,,Anesthesia|I Can't Wait|Time to Quit|Crazy People|Slash Your Tires|I Want Everything|Slide|Hey Sister,,,,,,,Setlist source: recording
luna,Luna,1992,1992-02-01,,1994-01-01,,"Bunratty's, Allston, MA, USA",bunrattys-allston-ma-usa,,,"Dean Wareham - guitar, vocals|Justin Harwood - bass, vocals|Byron Guthrie - drums",,,,,,,,"When we arrived at Bunratty’s, Byron announced that he had forgotten to bring hios sticks. A small thing. He forgot the sticks. It could happen to anyone. But it seemed significant to Justin and me. When we came back from Boston, I called Stanley Demeski, the drummer of The Feelies.Dean Wareham - Black Postcards"
luna,Luna,1992,1992-02-22,,1994-01-01,,"Maxwells, Hoboken NJ, USA",maxwells-hoboken-nj-usa,,,,Slide|Slash Your Tires|Anesthesia|Strange|Crazy People|Time to Quit|I Want Everything|That's What You Always Say|Hey Sister|I Can't Wait|Indian Summer|Temperature's Rising,,,,,,,
luna,Luna,1992,1992-02-27,,1994-01-01,,"Underworld, London, UK",underworld-london-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Grasshopper - guitar,Slide|Slash Your Tires|Anesthesia|Strange|Crazy People|Time to Quit|I Want Everything|That's What You Always Say|Hey Sister|I Can't Wait|Indian Summer|Temperature's Rising,,,,,,Stream|https://www.fullofwishes.co.uk/2020/02/27/lunas-first-london-show-27-feb-1992/|A Head Full of Wishes,
luna,Luna,1992,1992-03-01,,1994-01-01,,"BBC Radio One, London, UK",bbc-radio-one-london-uk,Radio session,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums,Crazy People|Slide|That's What You Always Say|I Can't Wait,,,,,,,Rx - 1992-03-01TX - 1992-04-27Producer - Dale GriffinEngineer - Mike EnglesEngineer - Paul LongStudio - Maida Vale 3Details on the BBC\'s Peel Sessions website
luna,Luna,1992,1992-04-03,,1994-01-01,,"Knitting Factory, New York NY, USA",knitting-factory-new-york-ny-usa,,,,,,,,,,,
luna,Luna,1992,1992-09-11,,1994-01-01,,"9:30 Club, Washington DC, USA",930-club-washington-dc-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,
luna,Luna,1992,1992-09-21,,1994-01-01,,"WPST, Trenton NJ, USA",wpst-trenton-nj-usa,Radio session,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,
luna,Luna,1992,1992-09-24,,1994-01-01,,"Clapham Grand, London, UK",clapham-grand-london-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Slash Your Tires|I Can't Wait|Indian Summer|Tugboat|Just My Imagination (Running Away With Me)|That's What You Always Say,,,,,,,In conjunction with the MTV 120 Minutes Music Festival. (incomplete setlist)
luna,Luna,1992,1992-09-30,,1994-01-01,,"Tivoli, Buckley, UK",tivoli-buckley-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,
luna,Luna,1992,1992-10-11,,1994-01-01,,"The Intersection, Grand Rapids, MI, USA",the-intersection-grand-rapids-mi-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,
luna,Luna,1992,1992-10-19,,1994-01-01,,"Khyber Pass, Philadelphia PA, USA",khyber-pass-philadelphia-pa-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,
luna,Luna,1992,1992-10-21,,1994-01-01,,"Cats Cradle, Carrboro NC, USA",cats-cradle-carrboro-nc-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,with Screaming Trees
luna,Luna,1992,1992-10-23,,1994-01-01,,"40 Watt Club, Athens GA, USA",40-watt-club-athens-ga-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,
luna,Luna,1992,1992-11-04,,1994-01-01,,"Coach House, San Juan Capistrano CA, USA",coach-house-san-juan-capistrano-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Slide|Crazy People|Anesthesia|We're Both Confused|I Can't Wait|Temperature's Rising|Hey Sister|Slash Your Tires|Time to Quit|Indian Summer,,,,,,,
luna,Luna,1992,1992-11-05,,1994-01-01,,"Whiskey-A-Go-Go, Los Angeles CA, USA",whiskey-a-go-go-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Slide|Crazy People|Anesthesia|Ride Into the Sun|I Can't Wait|Temperature's Rising|Hey Sister|Slash Your Tires|Smile|Time to Quit|Indian Summer|I Want Everything|That's What You Always Say,,,,,,,
luna,Luna,1992,1992-11-06,,1994-01-01,,"Whiskey-A-Go-Go, Los Angeles CA, USA",whiskey-a-go-go-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Slide|Crazy People|Slash Your Tires|Smile|I Can't Wait|Hey Sister|Temperature's Rising|Anesthesia|Time to Quit|Indian Summer,,,,,,,
luna,Luna,1992,1992-11-07,,1994-01-01,,"Bogart's, Long Beach CA, USA",bogarts-long-beach-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Slide|Goodbye|Slash Your Tires|Smile|I Can't Wait|Hey Sister|Temperature's Rising|Anesthesia|Time to Quit|Indian Summer,,,,,,,Setlist source: YouTube video
luna,Luna,1992,1992-11-24,,1994-01-01,,"WXPN, Philadelphia PA, USA",wxpn-philadelphia-pa-usa,Radio session,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,
luna,Luna,1992,1992-12-27,,1994-01-01,,"Idiots Delight, WXRK-FM, New York City NY, USA",idiots-delight-wxrk-fm-new-york-city-ny-usa,Radio session,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Anesthesia|Time|I Want Everything|Smile|We're Both Confused,,,,,,,Setlist source: recording
luna,Luna,1993,1993-02-11,,2023-08-26,,"Deep Ellum Live, Dallas, TX, USA",deep-ellum-live-dallas-tx-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-12,,2023-08-26,,"Union Ballroom, University of Texas, Austin, TX, USA",union-ballroom-university-of-texas-austin-tx-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-13,,2023-08-26,,"Tulane University, New Orleans, LO, USA",tulane-university-new-orleans-lo-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-15,,2023-08-26,,"Varsity Theatre, Baton Rouge, LO, USA",varsity-theatre-baton-rouge-lo-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-16,,2023-08-26,,"The Moon, Tallahassee, FL, USA",the-moon-tallahassee-fl-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-17,,2023-08-26,,"Variety Playhouse, Atlanta, GA, USA",variety-playhouse-atlanta-ga-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-19,,2023-08-26,,"Cat’s Cradle, Chapel Hill, NC, USA",cat’s-cradle-chapel-hill-nc-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-21,,1994-01-01,,"Lisner Auditorium, Washington DC, USA",lisner-auditorium-washington-dc-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,supporting The Sundays
luna,Luna,1993,1993-02-23,,2023-08-26,,"TLA, Philadelphia, PA, USA",tla-philadelphia-pa-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-25,,2023-08-26,,"The Academy, New York, NY, USA",the-academy-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-26,,2023-08-26,,"The Academy, New York, NY, USA",the-academy-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-02-27,,2023-08-26,,"The Avalon, Boston, MA, USA",the-avalon-boston-ma-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-02,,1994-01-01,,"Opera House, Toronto, Canada",opera-house-toronto-canada,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Slide|Anesthesia|Crazy People|We're Both Confused|Ride Into the Sun|Blue Thunder|Hey Sister|Slash Your Tires|Time to Quit|Indian Summer,recording,,,,,,Supporting The Sundays
luna,Luna,1993,1993-03-04,,1994-01-01,,"St. Andrews Hall, Detroit MI, USA",st-andrews-hall-detroit-mi-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Slide|Anesthesia|Crazy People|We're Both Confused|Temperature's Rising|Hey Sister|Slash Your Tires|Time to Quit|Indian Summer,,,,,,,
luna,Luna,1993,1993-03-05,,2023-08-26,,"Agora, Cleveland, OH, USA",agora-cleveland-oh-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-06,,2023-08-26,,"Bogart’s Cincinatti, OH, USA",bogart’s-cincinatti-oh-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-08,,2023-08-26,,"Mississippi Nights, St Louis?, MS, USA",mississippi-nights-st-louis?-ms-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-09,,2023-08-26,,"the Vic Theatre, Chicago, IL, USA",the-vic-theatre-chicago-il-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-10,,2023-08-26,,"First Avenue, Minneapolis, MT, USA",first-avenue-minneapolis-mt-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-15,,2023-08-26,,"Commodore Ballroom, Vancouver, BC, Canada",commodore-ballroom-vancouver-bc-canada,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-16,,2023-08-26,,"Moore Theatre, Seattle, WA, USA",moore-theatre-seattle-wa-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-17,,2023-08-26,,"La Luna, Portland, OR, USA",la-luna-portland-or-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-19,,1994-01-01,,"Warfield Theater, San Francisco CA, USA",warfield-theater-san-francisco-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,
luna,Luna,1993,1993-03-19,,2023-08-26,,"the Warfield, San Francisco, CA , USA",the-warfield-san-francisco-ca--usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
luna,Luna,1993,1993-03-20,,2023-08-26,,"The Palace Theatre, Los Angeles, CA, USA",the-palace-theatre-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Source: Dean Wareham
