title,disambiguate,slug,slug-old,sort-title,group-by,authors,original,lyrics
After the Goldrush,,after-the-goldrush,after-the-goldrush,AFTER THE GOLDRUSH,A,Neil Young,Neil Young,"Well, I dreamed I saw the knights <br />In armor coming, <br />Saying something about a queen. <br />There were peasants singing and <br />Drummers drumming <br />And the archer split the tree. <br />There was a fanfare blowing <br />To the sun <br />That was floating on the breeze. <br />Look at Mother Nature on the run <br />In the nineteen seventies. <br />Look at Mother Nature on the run <br />In the nineteen seventies. <br /><br />I was lying in a burned out basement <br />With the full moon in my eyes. <br />I was hoping for replacement <br />When the sun burst thru the sky. <br />There was a band playing in my head <br />And I felt like getting high. <br />I was thinking about what a <br />Friend had said <br />I was hoping it was a lie. <br />Thinking about what a <br />Friend had said <br />I was hoping it was a lie. <br /><br />Well, I dreamed I saw the silver <br />Space ships flying <br />In the yellow haze of the sun, <br />There were children crying <br />And colors flying <br />All around the chosen ones. <br />All in a dream, all in a dream <br />The loading had begun. <br />They were flying Mother Nature's <br />Silver seed to a new home in the sun. <br />Flying Mother Nature's <br />Silver seed to a new home."
After Tomorrow,,after-tomorrow,after-tomorrow,AFTER TOMORROW,A,,,
The Aftertime,,the-aftertime,the-aftertime,AFTERTIME,A,Krukowski/Yang,,
Air,,air,air,AIR,A,Mike Heron,The Incredible String Band,
Alberta,,alberta,alberta,ALBERTA,A,traditional,,
The Alibi,,the-alibi,the-alibi,ALIBI,A,Wareham/Eden/Phillips/Wall,,
Always Leaving Never,,always-leaving-never,always-leaving-never,ALWAYS LEAVING NEVER,A,,,
America,,america,america,AMERICA,A,Traffic Sound,Traffic Sound,
Amnesia,,amnesia,amnesia,AMNESIA,A,Krukowski/Yang,,
And You Are There,,and-you-are-there,and-you-are-there,AND YOU ARE THERE,A,Krukowski/Yang,,
Anesthesia,,anesthesia,anesthesia,ANESTHESIA,A,,,I see you comin down<br />Your life is flashin before ya<br />I see you comin round<br />You're talking over and over<br /><br />You know I tried to please ya<br />You're under anesthesia<br /><br />I see you comin down<br />Too bad there's nothing left over<br />I don't know what you mean<br />You're talkin over and over<br /><br />You know I tried to please ya<br />You're under anesthesia<br /><br />You know I tried to please ya<br />You're under anesthesia<br /><br />I see you wakin up<br />And now the day is upon ya<br />The party's over now<br />You're talkin over and over<br /><br />You know I tried to please ya<br />You're under anesthesia
Ann Buchanan Theme,,ann-buchanan-theme,ann-buchanan-theme,ANN BUCHANAN,A,,,
Another Day,,another-day,another-day,ANOTHER DAY,A,Krukowski/Wareham/Yang,,Why close your eyes to the sky today?<br />Why do you cry today just because the sky is grey?<br /><br />Cause it's ok if every day is not the same day<br />It's just another way that every day is not the same<br /><br />How can you see the sky when you close your eyes?<br />How can you run away just because the sky is grey?<br /><br />Cause it's ok if every day is not the same way<br />It's just another way that every day is not the same
Araçá Azul,,araca-azul,araca-azul,ARACA AZUL,A,Caetano Veloso,Caetano Veloso,
Around and Around,,around-and-around,around-and-around-again,AROUND AND AROUND,A,,,
Astrafiamante,,astrafiamante,astrafiamante,ASTRAFIAMANTE,A,,,
Astronaut,,astronaut,astronaut,ASTRONAUT,A,,,I wanna plug you in<br />I wanna get you things<br />Send you a pentagram<br />Feed you diazepam<br />I wanna play the game<br />I wanna live again<br />I wanna bend your spoons and make your<br />Silver shine<br /> <br />I'll wear a Stalin mustache<br />You'll wear a frozen smile<br />We'll run like Tamil Tigers<br />We'll drink the poison vial<br />I'm not the Jack of diamonds<br />I'm not the six of spades<br />I don't know what you thought<br />I'm not your astronaut<br /> <br />Because our surly stare<br />Is so revealing<br />Because your feet are bare<br />My eyes are peeling<br />Because your mistletoe<br />Because I gamble<br />Because I told you so<br />My eyes are scrambled
Awake in a Muddle,,awake-in-a-muddle,awake-in-a-muddle,AWAKE IN A MUDDLE,A,Masaki Batoh,Ghost,
Babes in the Wood,,babes-in-the-wood,babes-in-the-wood,BABES IN THE WOOD,B,Dean Wareham,,
Back in Your Life,,back-in-your-life,back-in-your-life,BACK IN YOUR LIFE,B,Jonathan Richman,Jonathan Richman,
The Bad Vibe Merchant,,the-bad-vibe-merchant,the-bad-vibe-merchant,BAD VIBE MERCHANT,B,,,"On Utopia Parkway<br />Drank Schaefer in the shade<br />With your mother watching over us<br />We drank beer in the shade<br />But vampires cannot be photographed<br />Somebody told me<br />Do you have to go to work<br />Do you have to go to work<br />I am not in possession, of all of the facts<br />Well your best friends of the moment<br />Are beating you at midnight<br />And the bad vibe merchant is hanging on the phone<br />He can make a butter rum<br />He can make an ice cube melt<br />He can make your teeth go chatter<br />He can do all this and more<br />I am not in possession, of all of the facts<br />I am not in possession, of all of the facts<br />I am not in possession, of all of the facts<br />I am not in possession, of all of the facts<br />Hmmm hmmm hmmm hmmm"
Be Mine,,be-mine,be-mine,BE MINE,B,Rev,"Rev, Martin",
Beat The Devil,,beat-the-devil,beat-the-devil,BEAT THE DEVIL,B,Dean Wareham,,
Beautiful Close Double,,beautiful-close-double,beautiful-close-double,BEAUTIFUL CLOSE DOUBLE,B,,,
