Title,Artist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes
This Is Our Music,Galaxie 500,MASTER,,,1990,,,,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_thisisourmusic.jpg,
This Is Our Music,Galaxie 500,LP,9,GB,1990,Rough Trade (pre-2000),ROUGH 156,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up HighListen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two","Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,,
This Is Our Music,Galaxie 500,CD,9,GB,1990,Rough Trade (pre-2000),ROUGH CD 156,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,,,
This Is Our Music,Galaxie 500,CD,9,GB,1990,Rough Trade (pre-2000),ROUGH CD 156L,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,,,
This Is Our Music,Galaxie 500,CD,9,US,1990,Rough Trade America,RUS 86-2,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,,,
This Is Our Music,Galaxie 500,CD,10,JP,1997,Videoarts Music,VACK-1121,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now",,,,,
This Is Our Music,Galaxie 500,CD,10,US,1997,Rykodisc,RCD 10358,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now",,,,,
This Is Our Music,Galaxie 500,CD,10,JP,2008,Videoarts Music,VACK 1370,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now",,,,,
This Is Our Music,Galaxie 500,LP,9,US,2009,20|20|20,202020.09LP,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up HighListen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two","Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two",,,,
This Is Our Music & Copenhagen,Galaxie 500,2×CD,19,GB,2010,Domino (UK - WIG or RUG cat #s),REWIGCD71,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now","Decomposing Trees|Fourth of July|Summertime|Sorry|When Will You Come Home|Spook|Listen, the Snow Is Falling|Here She Comes Now|Don't Let Our Youth Go to Waste",,,,
This Is Our Music / Copenhagen,Galaxie 500,2×CD,19,US,2010,20|20|20,202020.09,"Fourth of July|Hearing Voices|Spook|Summertime|Way Up High|Listen, the Snow Is Falling|Sorry|Melt Away|King of Spain, Part Two|Here She Comes Now","Decomposing Trees|Fourth of July|Summertime|Sorry|When Will You Come Home|Spook|Listen, the Snow Is Falling|Here She Comes Now|Don't Let Our Youth Go to Waste",,,,
