Title,Artist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes
On Fire,Galaxie 500,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/01-galaxie_500/sleeves/g500_onfire.jpg,
On Fire,Galaxie 500,LP,10,GB,1989,Rough Trade,ROUGH 146,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come HomeDecomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,
On Fire,Galaxie 500,MC,10,GB,1989,Rough Trade,ROUGH C146,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come HomeDecomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,
On Fire,Galaxie 500,CD,10,GB,1989,Rough Trade,ROUGH CD 146,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,,
On Fire,Galaxie 500,LP,10,US,1989,Rough Trade,ROUGH US 74,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,
On Fire,Galaxie 500,CD,10,US,1989,Rough Trade,ROUGH US 74 CD,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,,
On Fire,Galaxie 500,CD,13,JP,1997,Videoarts Music,VACK-1120,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,,,,,
On Fire,Galaxie 500,CD,13,US,1997,Rykodisc,RCD 10357,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,,,,,
On Fire,Galaxie 500,CD,13,JP,2008,Videoarts Music,VACK 1369,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,,,,,
On Fire,Galaxie 500,LP,10,US,2009,20|20|20,202020.08LP,Blue Thunder (w/sax)|Tell Me|Snowstorm|Strange|When Will You Come Home,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,
On Fire,Galaxie 500,LP,10,GB,2010,Domino,EPGJPPTGJC,Blue Thunder (w/sax)|Tell Me|Snowstorm|Strange|When Will You Come Home,Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity,,,,
On Fire / Peel Sessions,Galaxie 500,2×CD,21,GB,2010,Domino (UK - WIG or RUG cat #s),REWIGCD70,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,Submission|Final Day|When Will You Come Home|Moonshot|Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste,,,,
On Fire / Peel Sessions,Galaxie 500,2×CD,21,US,2010,20|20|20,202020.08,Blue Thunder|Tell Me|Snowstorm|Strange|When Will You Come Home|Decomposing Trees|Another Day|Leave The Planet|Plastic Bird|Isn't it a Pity|Victory Garden|Ceremony|Cold Night,Submission|Final Day|When Will You Come Home|Moonshot|Flowers|Blue Thunder|Decomposing Trees|Don't Let Our Youth Go to Waste,,,,
