section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,i-was-there,calendar-subject
dean-and-britta,dean-wareham,Dean Wareham,2003,2003-03-01,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Joes Pub,New York,NY,USA,joes-pub-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,No Train to Stockholm,,,,,,,Songs of Protest: The Vietnam Songbook event.,|notraintostockholm|,,"2003: Dean Wareham - Joes Pub, New York, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2003,2003-06-18,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Troubadour,Los Angeles,CA,USA,troubadour-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2003: Dean & Britta - Troubadour, Los Angeles, CA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2003,2003-06-19,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Great American,San Francisco,CA,USA,great-american-san-francisco-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Mermaid Eyes|Indian Summer [The Doors]|Your Baby|Threw It Away|Knives From Bavaria|Moonshot|Ginger Snaps|Hearing Voices|Bonnie and Clyde,,,,,,,Setlist: scan,|nightnurse|randomrules|outwalking|hearthewindblow|ideserveit|mermaideyes|indiansummerthedoors|yourbaby|threwitaway|knivesfrombavaria|moonshot|gingersnaps|hearingvoices|bonnieandclyde|,,"2003: Dean & Britta - Great American, San Francisco, CA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2003,2003-06-21,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Double Door,Chicago,IL,USA,double-door-chicago-il-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Indian Summer [The Doors]|Mermaid Eyes|Your Baby|Threw It Away|Moonshot|Ginger Snaps|Knives From Bavaria|Hearing Voices|Bonnie and Clyde,,,,,,,,|nightnurse|randomrules|outwalking|hearthewindblow|ideserveit|indiansummerthedoors|mermaideyes|yourbaby|threwitaway|moonshot|gingersnaps|knivesfrombavaria|hearingvoices|bonnieandclyde|,,"2003: Dean & Britta - Double Door, Chicago, IL, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2003,2003-06-24,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Village Underground,New York,NY,USA,village-underground-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Indian Summer|Your Baby|Mermaid Eyes|Threw It Away|Moonshot|Ginger Snaps|Knives From Bavaria|Hearing Voices|Bonnie and Clyde,,,,,,,,|nightnurse|randomrules|outwalking|hearthewindblow|ideserveit|indiansummer|yourbaby|mermaideyes|threwitaway|moonshot|gingersnaps|knivesfrombavaria|hearingvoices|bonnieandclyde|,,"2003: Dean & Britta - Village Underground, New York, NY, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2003,2003-06-25,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,TT the Bears,Cambridge,MA,USA,tt-the-bears-cambridge-ma-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2003: Dean & Britta - TT the Bears, Cambridge, MA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2003,2003-07-01,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,FNAC,Madrid,,Spain,fnac-madrid-spain,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,in store,,,"2003: Dean & Britta - FNAC, Madrid, Spain"
dean-and-britta,dean-and-britta,Dean & Britta,2003,2003-07-07,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,KCRW,Santa Monica,CA,USA,kcrw-santa-monica-ca-usa,Radio session,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,From the Museum of TV and Radio in NYC,,,"2003: Dean & Britta - KCRW, Santa Monica, CA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2003,2003-08-16,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,WFUV,New York,NY,USA,wfuv-new-york-ny-usa,Radio session,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,‘Idiots Delight with Vin Scelsa',,,"2003: Dean & Britta - WFUV, New York, NY, USA"
dean-and-britta,dean-wareham,Dean Wareham,2003,2003-10-01,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,ZULU Records,Vancouver,British Columbia,Canada,zulu-records-vancouver-british-columbia-canada,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,"Exact date unknownInstore performance with a pick up band (The Secret 3).We did a couple of Galaxie 500 songs, and some from the Dean &amp; Britta record [L'Avventura].Dean Wareham",,,"2003: Dean Wareham - ZULU Records, Vancouver, British Columbia, Canada"
