section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,_venue-slug,show-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,_i-was-there,_calendar-subject,,_recording
dean-wareham,dean-wareham,Dean Wareham,2003,2003-03-01,,1994-01-01,,,Joes Pub,New York,NY,USA,joes-pub-new-york-ny-usa,dean-wareham-2003-03-01-joes-pub-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,No Train to Stockholm,,,,,,,Songs of Protest: The Vietnam Songbook event.,|notraintostockholm|,,"2003: Dean Wareham - Joes Pub, New York, NY, USA",,
dean-wareham,dean-wareham,Dean Wareham,2003,2003-10-01,,1994-01-01,,,ZULU Records,Vancouver,British Columbia,Canada,zulu-records-vancouver-british-columbia-canada,dean-wareham-2003-10-01-zulu-records-vancouver-british-columbia-canada,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,"Exact date unknownInstore performance with a pick up band (The Secret 3).We did a couple of Galaxie 500 songs, and some from the Dean &amp; Britta record [L'Avventura].Dean Wareham",,,"2003: Dean Wareham - ZULU Records, Vancouver, British Columbia, Canada",,
dean-wareham,dean-wareham,Dean Wareham,2008,2008-03-13,,1994-01-01,Black Postcards book tour,,Club Midway,New York,NY,USA,club-midway-new-york-ny-usa,dean-wareham-2008-03-13-club-midway-new-york-ny-usa,,,,,,,,,,,Book signing and performance 7:30pm,,,"2008: Dean Wareham - Club Midway, New York, NY, USA",,
dean-wareham,dean-wareham,Dean Wareham,2008,2008-03-18,,1994-01-01,Black Postcards book tour,,Union Hall,Brooklyn,NY,USA,union-hall-brooklyn-ny-usa,dean-wareham-2008-03-18-union-hall-brooklyn-ny-usa,,,,Tugboat|Into The Fold|Moon Palace|Fourth of July|Malibu Love Nest|Teenage Lightning,,,,,,,Book signing and performance - 7:30pm,|tugboat|intothefold|moonpalace|fourthofjuly|malibulovenest|teenagelightning|,,"2008: Dean Wareham - Union Hall, Brooklyn, NY, USA",,
dean-wareham,dean-wareham,Dean Wareham,2008,2008-03-20,,1994-01-01,Black Postcards book tour,,Brookline Booksmith,Brookline,MA,USA,brookline-booksmith-brookline-ma-usa,dean-wareham-2008-03-20-brookline-booksmith-brookline-ma-usa,,,,,,,,,,,Dean will be reading from his book “Black Postcards : A Rock and Roll Romance”,,,"2008: Dean Wareham - Brookline Booksmith, Brookline, MA, USA",,
dean-wareham,dean-wareham,Dean Wareham,2008,2008-03-21,,1994-01-01,Black Postcards book tour,,Lizard Lounge,Cambridge,MA,USA,lizard-lounge-cambridge-ma-usa,dean-wareham-2008-03-21-lizard-lounge-cambridge-ma-usa,,,,Blue Thunder|Hearing Voices|Into The Fold|Swedish Fish|Don't Let Our Youth Go to Waste,Galaxie 500 Mailing List,,,,,,Book signing and performance - 7:00pm,|bluethunder|hearingvoices|intothefold|swedishfish|dontletouryouthgotowaste|,,"2008: Dean Wareham - Lizard Lounge, Cambridge, MA, USA",,
dean-wareham,dean-wareham,Dean Wareham,2008,2008-03-26,,1994-01-01,Black Postcards book tour,,Book Court,Brooklyn,NY,USA,book-court-brooklyn-ny-usa,dean-wareham-2008-03-26-book-court-brooklyn-ny-usa,,,,,,,,,,,Book signing - 7:00pm,,,"2008: Dean Wareham - Book Court, Brooklyn, NY, USA",,
dean-wareham,dean-wareham,Dean Wareham,2012,2012-10-04,,2026-04-13,,Culture Collide,Echo,Los Angeles,CA,USA,culture-collide-echo-los-angeles-ca-usa,dean-wareham-2012-10-04-culture-collide-echo-los-angeles-ca-usa,,,,,,,,,,,,,,"2012: Dean Wareham - Culture Collide, Echo, Los Angeles, CA, USA",,
dean-wareham,dean-wareham,Dean Wareham,2013,2013-02-19,,1994-01-01,,,Music Hall of Williamsburg,Brooklyn,NY,USA,music-hall-of-williamsburg-brooklyn-ny-usa,dean-wareham-2013-02-19-music-hall-of-williamsburg-brooklyn-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,Solo show supporting Jim James (My Morning Jacket),,,"2013: Dean Wareham - Music Hall of Williamsburg, Brooklyn, NY, USA",,
dean-wareham,dean-wareham,Dean Wareham,2013,2013-11-12,,1994-01-01,,,Chapel,San Francisco,CA,USA,chapel-san-francisco-ca-usa,dean-wareham-2013-11-12-chapel-san-francisco-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Love Is Colder Than Death|The Longest Bridges in The World|When Will You Come Home|Emancipated Hearts|Air|Tell Me|Strange|The Deadliest Day Since The Invasion Began|Lost In Space|Blue Thunder|Moon Palace|Don't Let Our Youth Go to Waste|Tugboat|Ride Into the Sun|Ceremony,,,,,,,,|loveiscolderthandeath|thelongestbridgesintheworld|whenwillyoucomehome|emancipatedhearts|air|tellme|strange|thedeadliestdaysincetheinvasionbegan|lostinspace|bluethunder|moonpalace|dontletouryouthgotowaste|tugboat|rideintothesun|ceremony|,,"2013: Dean Wareham - Chapel, San Francisco, CA, USA",,2013-11-12
dean-wareham,dean-wareham,Dean Wareham,2013,2013-11-14,,1994-01-01,,,Largo at the Coronet Theatre,Los Angeles,CA,USA,largo-at-the-coronet-theatre-los-angeles-ca-usa,dean-wareham-2013-11-14-largo-at-the-coronet-theatre-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Love Is Colder Than Death|The Longest Bridges In The World|When Will You Come Home|Emancipated Hearts|Air|Tell Me|Strange|The Deadliest Day Since The Invasion Began|Lost In Space|Blue Thunder|Ride Into The Sun|Don't Let Our Youth Go To Waste|Tugboat|Moon Palace|Ceremony,,,,,,,,|loveiscolderthandeath|thelongestbridgesintheworld|whenwillyoucomehome|emancipatedhearts|air|tellme|strange|thedeadliestdaysincetheinvasionbegan|lostinspace|bluethunder|rideintothesun|dontletouryouthgotowaste|tugboat|moonpalace|ceremony|,,"2013: Dean Wareham - Largo at the Coronet Theatre, Los Angeles, CA, USA",,2013-11-14
dean-wareham,dean-wareham,Dean Wareham,2013,2013-11-29,,1994-01-01,,,The Bell House,Brooklyn,NY,USA,the-bell-house-brooklyn-ny-usa,dean-wareham-2013-11-29-the-bell-house-brooklyn-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2013: Dean Wareham - The Bell House, Brooklyn, NY, USA",,
dean-wareham,dean-wareham,Dean Wareham,2013,2013-12-04,,1994-01-01,,,Ruby Lounge,Manchester,,UK,ruby-lounge-manchester-uk,dean-wareham-2013-12-04-ruby-lounge-manchester-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2013: Dean Wareham - Ruby Lounge, Manchester, UK",,
dean-wareham,dean-wareham,Dean Wareham,2013,2013-12-05,,1994-01-01,,,St. Pancras Old Church,London,,UK,st-pancras-old-church-london-uk,dean-wareham-2013-12-05-st-pancras-old-church-london-uk,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Love Is Colder Than Death|The Longest Bridges in The World|When Will You Come Home|The Deadliest Day Since The Invasion Began|Emancipated Hearts|Tell Me|Strange|Air|Lost In Space|Blue Thunder|Moon Palace|Ride Into the Sun|Tugboat|Don't Let Our Youth Go to Waste|Ceremony,,,,,,,,|loveiscolderthandeath|thelongestbridgesintheworld|whenwillyoucomehome|thedeadliestdaysincetheinvasionbegan|emancipatedhearts|tellme|strange|air|lostinspace|bluethunder|moonpalace|rideintothesun|tugboat|dontletouryouthgotowaste|ceremony|,Y,"2013: Dean Wareham - St. Pancras Old Church, London, UK",,2013-12-05
