section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,i-was-there,calendar-subject
galaxie-500,galaxie-500,Galaxie 500,1987,Sat Aug 29 1987 00:00:00 GMT+0100 (British Summer Time),,,,,248 Front St,New York,NY,USA,248-front-st-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1987-08-29/19870829_galaxie500.jpg,,,,"Galaxie 500's first ever show.At summer's end we played a gig at my apartment on Front Street. Naomi made up little flyers for the event.It was the best gig of my life. I didn't break a string. I didn't forget the words. We played for 20 minutes, and it was just perfect.Dean Wareham, Black Postcards. Penguin Press; 2008.we definitely played &quot;Knockin&#39; on Heaven&#39;s Door&quot; and likely &quot;Walking Song&quot; and &quot;On the Floor&quot; and possibly &quot;Where Have all the Flowers Gone&quot; and &quot;I Can See Clearly Now the Rain is Gone&quot; Dean Wareham (@WarehamDean), 29th August 2019",,,"1987: Galaxie 500 - 248 Front St, New York, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1987,Thu Oct 01 1987 00:00:00 GMT+0100 (British Summer Time),,,,,Chets Last Call,Boston,MA,USA,chets-last-call-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1987: Galaxie 500 - Chets Last Call, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1987,Wed Nov 11 1987 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Green Street Station,Boston,MA,USA,green-street-station-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1987: Galaxie 500 - Green Street Station, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1987,Fri Nov 13 1987 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Chets Last Call,Boston,MA,USA,chets-last-call-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1987: Galaxie 500 - Chets Last Call, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1987,Fri Nov 27 1987 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Hue Bar,New York,NY,USA,hue-bar-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1987: Galaxie 500 - Hue Bar, New York, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1987,Mon Dec 07 1987 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Chets Last Call,Boston,MA,USA,chets-last-call-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1987: Galaxie 500 - Chets Last Call, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Fri Jan 01 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,TT The Bears,Cambridge,MA,USA,tt-the-bears-cambridge-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “A Wednesday that January”,,,"1988: Galaxie 500 - TT The Bears, Cambridge, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Fri Jan 01 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Upstairs at The Rat,Boston,MA,USA,upstairs-at-the-rat-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “A Saturday that January”,,,"1988: Galaxie 500 - Upstairs at The Rat, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Sun Jan 24 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Salon des Artistes,New York,NY,USA,salon-des-artistes-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1988: Galaxie 500 - Salon des Artistes, New York, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Thu Feb 04 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Green Street Station,Jamaica Plain,MA,USA,green-street-station-jamaica-plain-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1988: Galaxie 500 - Green Street Station, Jamaica Plain, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Tue Mar 01 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Bunratty's,Boston,MA,USA,bunrattys-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “Bunratty's on a Monday”,,,"1988: Galaxie 500 - Bunratty's, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Tue Mar 01 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Rat,Boston,MA,USA,rat-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “Thursday at The Rat opening for Incredible Casuals”,,,"1988: Galaxie 500 - Rat, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Tue Mar 01 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,TT The Bears,Cambridge,MA,USA,tt-the-bears-cambridge-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “A Wednesday that January”,,,"1988: Galaxie 500 - TT The Bears, Cambridge, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Sat Mar 05 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Green Street Station,Jamaica Plain,MA,USA,green-street-station-jamaica-plain-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1988: Galaxie 500 - Green Street Station, Jamaica Plain, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Sat Mar 19 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,The Middle East,Cambridge,MA,USA,the-middle-east-cambridge-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass|Damon Krukowski - drums,Oblivious|I Can't Believe It's Me|Back in Your Life|Buzz in My Head,,,,,,,DW: “Opening for Beat Happening”,|oblivious|icantbelieveitsme|backinyourlife|buzzinmyhead|,,"1988: Galaxie 500 - The Middle East, Cambridge, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Fri Apr 22 1988 00:00:00 GMT+0100 (British Summer Time),,,,,Green Street Station,Boston,MA,USA,green-street-station-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1988: Galaxie 500 - Green Street Station, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Fri Apr 29 1988 00:00:00 GMT+0100 (British Summer Time),,,,,TT the Bears,Cambridge,MA,USA,tt-the-bears-cambridge-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,Record release party with Lemonheads and Nixon Head,,,"1988: Galaxie 500 - TT the Bears, Cambridge, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Fri May 27 1988 00:00:00 GMT+0100 (British Summer Time),,,,,Green St Station,Jamaica Plain,MA,USA,green-st-station-jamaica-plain-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1988: Galaxie 500 - Green St Station, Jamaica Plain, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Sun May 29 1988 00:00:00 GMT+0100 (British Summer Time),,,,,Green St Station,Jamaica Plain,MA,USA,green-st-station-jamaica-plain-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,"Benefit with Big Daddy Cool and the JP Flames, Slaughter Shack, Madding Crowd, Hullabaloo,Xanna Don't, Galaxie 500, Nobody Home and readings by Kenne Highland, Billy Ruane and Jeff Gagnon",,,"1988: Galaxie 500 - Green St Station, Jamaica Plain, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Wed Jun 01 1988 00:00:00 GMT+0100 (British Summer Time),,,,,Rat,Boston,MA,USA,rat-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “Record release party for Gigolo Aunts”,,,"1988: Galaxie 500 - Rat, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Thu Sep 22 1988 00:00:00 GMT+0100 (British Summer Time),,,,,Green St Station,Jamaica Plain,MA,USA,green-st-station-jamaica-plain-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1988: Galaxie 500 - Green St Station, Jamaica Plain, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Fri Oct 21 1988 00:00:00 GMT+0100 (British Summer Time),,,,,Rat,Boston,MA,USA,rat-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,"“Celebrating the release of the album TODAY by GALAXIE 500”Aurora Records album launch party with Bitch Magnet, Salem 66 and The Cavedogs",,,"1988: Galaxie 500 - Rat, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Thu Nov 03 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Green St Station,Jamaica Plain,MA,USA,green-st-station-jamaica-plain-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1988: Galaxie 500 - Green St Station, Jamaica Plain, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Fri Nov 11 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Lobdell Dining Hall,Boston,MA,USA,lobdell-dining-hall-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1988: Galaxie 500 - Lobdell Dining Hall, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Tue Dec 13 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,CBGBs,New York,NY,USA,cbgbs-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Tugboat|Oblivious|Parking Lot|Don't Let Our Youth Go to Waste|Pictures|Flowers|It's Getting Late|Temperature's Rising,recording,,,,,Download|https://www.fullofwishes.co.uk/2021/03/25/audio-full-galaxie-500-show-cbgbs-1988/|A Head Full of Wishes,Benefit for See/Hear. Supporting Sonic Youth and B.A.L.L.,|tugboat|oblivious|parkinglot|dontletouryouthgotowaste|pictures|flowers|itsgettinglate|temperaturesrising|,,"1988: Galaxie 500 - CBGBs, New York, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1988,Fri Dec 16 1988 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Rat,Boston,MA,USA,rat-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Tugboat|Oblivious|Parking Lot|Don't Let Our Youth Go to Waste|When Will You Come Home|I Wanna Live|Flowers|Temperature's Rising,,,,,,Download|https://www.mediafire.com/file/3kdph0idz80fpev/Galaxie_500_1988-12-16__The_Rat%252C_Boston%252C_MA%252C_USA.zip/file|A Head Full of Wishes (Mediafire),"Supporting The Pixies.This was in the database as a show from December 1987 but having listened to it evidence suggests that its probably from a year later.In the show Dean mentions asks if anyone has their album which wasnt released until October 1988, and he also shouts 'stick around for The Pixies' at the end.",|tugboat|oblivious|parkinglot|dontletouryouthgotowaste|whenwillyoucomehome|iwannalive|flowers|temperaturesrising|,,"1988: Galaxie 500 - Rat, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Feb 25 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Rat,Boston,MA,USA,rat-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Rat, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Mar 18 1989 00:00:00 GMT+0000 (Greenwich Mean Time),,,,,Rat,Boston,MA,USA,rat-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “Opening for Flaming Lips”,,,"1989: Galaxie 500 - Rat, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Wed Mar 29 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Cabaret Metro,Chicago,IL,USA,cabaret-metro-chicago-il-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Cabaret Metro, Chicago, IL, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Mar 31 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Furst Rock,St Louis,MO,USA,furst-rock-st-louis-mo-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,Two sets,,,"1989: Galaxie 500 - Furst Rock, St Louis, MO, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Apr 01 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Top Hat,Newport,KY,USA,top-hat-newport-ky-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Top Hat, Newport, KY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Mon Apr 03 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Wrocklage,Lexington,KY,USA,wrocklage-lexington-ky-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-04-03/galaxie-500-1989-04-03-poster.jpg,,,,,,,"1989: Galaxie 500 - Wrocklage, Lexington, KY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Tue Apr 04 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Masonic Temple,Pittsburgh,PA,USA,masonic-temple-pittsburgh-pa-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Masonic Temple, Pittsburgh, PA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Thu Apr 06 1989 00:00:00 GMT+0100 (British Summer Time),,,,,9:30 Club,Washington DC,,USA,930-club-washington-dc-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “Opening for Throwing Muses”,,,"1989: Galaxie 500 - 9:30 Club, Washington DC, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Apr 08 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Maxwell's,Hoboken,NJ,USA,maxwells-hoboken-nj-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “Opening for Christmas”,,,"1989: Galaxie 500 - Maxwell's, Hoboken, NJ, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Apr 21 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Commonwealth School,Boston,MA,USA,commonwealth-school-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Commonwealth School, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Apr 28 1989 00:00:00 GMT+0100 (British Summer Time),,,,,The Pyramid,New York,NY,USA,the-pyramid-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - The Pyramid, New York, NY, USA"
