Setlists,all songs,Unique songs,Count,Song,Plays
Spirit of Love|Tour Of The World|Forgot To Get High|Information Age|Laika|The New Historicism|New York City|How Long|Pandora's Box|(unknown)|,,,7028,TURN OF THE CENTURY,29
|,,(UNKNOWN),1,A SHINING DREAM,25
|,,A SECOND LIFE,15,NEW YORK CITY,25
Spirit of Love|Laika|The New Historicism|Information Age|This Car Climbed Mt. Washington|New York City|How Long|Tour Of The World|Translucent Carriages|I Shall Be Released|,,A SHINING DREAM,25,SONG TO THE SIREN,25
|,,A SONG FOR YOU,6,IT'S OVER,21
|,,AMNESIA,19,EYE OF THE STORM,20
|,,ANOTHER DAY,6,REFLECTIONS,20
The Navigator|New York City|How Long|Translucent Carriages|Tour of the World|Awake in a Muddle|^[unknown]|This Car Climbed Mt. Washington|,,ARAÇÁ AZUL,4,THE NORTH LIGHT,20
|,,AWAKE IN A MUDDLE,11,TIME WON'T OWN ME,20
|,,BEAUTIFUL CLOSE DOUBLE,3,AMNESIA,19
|,,BETWEEN THE WARS,6,HURT HOUSE,19
|,,BIRD ON THE WIRE,2,SHADOWS,19
|,,BLUE MOON,1,SKY MEMORIES,19
|,,BLUE THUNDER,3,THE SEEKER,19
|,,CRUEL QUEEN,6,TOWARDS TOMORROW,19
|,,DANCE ME TO THE END OF LOVE,1,HELSINKI,16
|,,EULOGY TO LENNY BRUCE,1,JUDAH AND THE MACCABEES,16
|,,EYE OF THE STORM,20,A SECOND LIFE,15
|,,FORGOT TO GET HIGH,1,HOW DO I SAY GOODBYE,15
|,,GOODBYE,1,THE ROBOT SPEAKS,15
|,,HELSINKI,16,LILAC LAND,14
|,,HOUSE OF GLASS,4,UENO STATION,14
|,,HOW DO I SAY GOODBYE,15,HOW LONG,12
|,,HOW LONG,12,AWAKE IN A MUDDLE,11
|,,HURT HOUSE,19,I DREAMED OF THE CAUCASUS,11
|,,I DREAMED OF THE CAUCASUS,11,LOVE,11
|,,I SHALL BE RELEASED,2,THE NAVIGATOR,11
|,,I'M YOURS,3,THE NEW WORLD,11
|,,IN THE SUN,2,TANKA,10
|,,INFORMATION AGE,2,THE GREAT WALL,9
|,,IT'S OVER,21,THE MIRROR PHASE,7
|,,JUDAH AND THE MACCABEES,16,TOUR OF THE WORLD,7
|,,LAIKA,2,A SONG FOR YOU,6
|,,LILAC LAND,14,ANOTHER DAY,6
|,,"LISTEN, THE SNOW IS FALLING",3,BETWEEN THE WARS,6
|,,LOVE,11,CRUEL QUEEN,6
|,,MEMORIES,1,OCEANS IN BETWEEN,6
