Setlists,all songs,Unique songs,Count,Song,Plays
No Train to Stockholm|,,,5146,KNIVES FROM BAVARIA,118
|,,(WALKIN' THRU THE) SLEEPY CITY,2,I'LL KEEP IT WITH MINE,90
Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Mermaid Eyes|Indian Summer [The Doors]|Your Baby|Threw It Away|Knives From Bavaria|Moonshot|Ginger Snaps|Hearing Voices|Bonnie and Clyde|,,23 MINUTES IN BRUSSELS,20,TEENAGE LIGHTNING,78
Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Indian Summer [The Doors]|Mermaid Eyes|Your Baby|Threw It Away|Moonshot|Ginger Snaps|Knives From Bavaria|Hearing Voices|Bonnie and Clyde|,,AIR,8,TUGBOAT,78
Night Nurse|Random Rules|Out Walking|Hear The Wind Blow|I Deserve It|Indian Summer|Your Baby|Mermaid Eyes|Threw It Away|Moonshot|Ginger Snaps|Knives From Bavaria|Hearing Voices|Bonnie and Clyde|,,ALBERTA,2,NOT A YOUNG MAN ANYMORE,76
|,,ANESTHESIA,1,SILVER FACTORY THEME,73
|,,ANN BUCHANAN THEME,70,EYES IN MY SMOKE,72
|,,ANOTHER DAY,7,I FOUND IT NOT SO,71
|,,BABES IN THE WOOD,5,STRANGE,71
|,,BEWITCHED,23,ANN BUCHANAN THEME,70
|,,BLUE THUNDER,54,HERRINGBONE TWEED,70
|,,BOBBY PERU,2,INCANDESCENT INNOCENT,70
Swedish Fish|Hearing Voices|Knives From Bavaria|Night Nurse|,,BONNIE AND CLYDE,42,INTERNATIONAL VELVET THEME,70
|,,BOURGEOIS MANQUÉ,12,IT DON'T RAIN IN BEVERLY HILLS,70
|,,BROKEN CHAIR,2,RICHARD RHEEM THEME,70
The Sun Is Still Sunny|Me and My Babies|Hear The Wind Blow|Wait For Me|Hearing Voices|You Turned My Head Around|White Horses|Since I Lay My Burden Down|Knives From Bavaria|Temperature's Rising|Tugboat|Night Nurse|Blue Thunder|,,CALIFORNIA BLUE,1,BLUE THUNDER,54
Singer Sing|Since I Lay My Burden Down|The Sun Is Still Sunny|You Turned My Head Around|Hear The Wind Blow|Night Nurse|Words You Used To Say|White Horses|Temperature's Rising|Knives From Bavaria|Hearing Voices|Bonnie and Clyde|Ginger Snaps|,,CAR WASH HAIR,1,NIGHT NURSE,49
|,,CASHING IN,1,SNOWSTORM,47
Singer Sing|Ginger Snaps|Words You Used To Say|Hear The Wind Blow|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|White Horses|Since I Lay My Burden Down|Bewitched|Knives From Bavaria|Hearing Voices|Night Nurse|Chinatown|Bonnie and Clyde|,,CEREMONY,44,WHEN WILL YOU COME HOME,45
Singer Sing|Night Nurse|Hear The Wind Blow|Words You Used To Say|White Horses|Moon Palace|Since I Lay My Burden Down|You Turned My Head Around|Bewitched|Ginger Snaps|Hearing Voices|Chinatown|Knives From Bavaria|Tugboat|Bonnie and Clyde|,,CHEESE AND ONIONS,5,CEREMONY,44
|,,CHINATOWN,17,BONNIE AND CLYDE,42
Singer Sing|Night Nurse|Hear The Wind Blow|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Chinatown|Tiger Lily|Strange|Bonnie and Clyde|Ginger Snaps|Tugboat|,,CHRISTMAS CAN'T BE FAR AWAY,1,YOU TURNED MY HEAD AROUND,40
Singer Sing|Night Nurse|Hear The Wind Blow|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Bewitched|Tiger Lily|Chinatown|Bonnie and Clyde|Ginger Snaps|Tugboat|,,CINDY TASTES OF BARBECUE,1,WORDS YOU USED TO SAY,38
|,,DAYDREAM,3,GINGER SNAPS,36
Singer Sing|Night Nurse|Hear The Wind Blow|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Knives From Bavaria|Bewitched|Tiger Lily|Tugboat|Bonnie and Clyde|Ginger Snaps|Chinatown|,,DEAR BETTY BABY,12,FLOWERS,35
Singer Sing|Night Nurse|Hear The Wind Blow|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Strange|Tiger Lily|Knives From Bavaria|Chinatown|Bonnie and Clyde|Ginger Snaps|Bewitched|Tugboat|,,DECOMPOSING TREES,11,MOON PALACE,34
Singer Sing|Night Nurse|Our Love Will Still Be There|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Strange|Tiger Lily|Knives From Bavaria|Chinatown|Bonnie and Clyde|Ginger Snaps|Bewitched|Tugboat|,,DO IT LAST,1,SINGER SING,34
Singer Sing|Night Nurse|Our Love Will Still Be There|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Tiger Lily|Tugboat|Knives From Bavaria|Chinatown|Bonnie and Clyde|Random Rules|Ginger Snaps|Bewitched|,,DO YOU KNOW HOW CHRISTMAS TREES ARE GROWN,1,TEMPERATURE'S RISING,29
Singer Sing|Night Nurse|Our Love Will Still Be There|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Tiger Lily|Bewitched|Bonnie and Clyde|Ginger Snaps|Tugboat|,,DO YOU KNOW HOW CHRISTMAS TREES ARE GROWN?,1,HEAR THE WIND BLOW,28
Singer Sing|Night Nurse|Hear The Wind Blow|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Chinatown|Tiger Lily|Tugboat|Bonnie and Clyde|Ginger Snaps|Bewitched|,,DON'T LET OUR YOUTH GO TO WASTE,24,TIGER LILY,28
