Setlists,all songs,Unique songs,Count,Song,Plays
|,,,7277,WHEN WILL YOU COME HOME,39
|,,BACK IN YOUR LIFE,1,DECOMPOSING TREES,37
|,,BLUE THUNDER,28,DON'T LET OUR YOUTH GO TO WASTE,36
|,,BUZZ IN MY HEAD,1,CEREMONY,29
|,,CEREMONY,29,FLOWERS,29
|,,DECOMPOSING TREES,37,BLUE THUNDER,28
|,,DON'T LET OUR YOUTH GO TO WASTE,36,SNOWSTORM,25
|,,FINAL DAY,2,TEMPERATURE'S RISING,24
|,,FLOWERS,29,PLASTIC BIRD,18
|,,FOURTH OF JULY,14,HERE SHE COMES NOW,17
|,,HEARING VOICES,9,SUMMERTIME,17
|,,HERE SHE COMES NOW,17,FOURTH OF JULY,14
|,,I CAN'T BELIEVE IT'S ME,1,MELT AWAY,14
|,,I WANNA LIVE,1,"LISTEN, THE SNOW IS FALLING",13
Oblivious|I Can't Believe It's Me|Back in Your Life|Buzz in My Head|,,IT'S GETTING LATE,1,SPOOK,13
|,,"LISTEN, THE SNOW IS FALLING",13,PICTURES,10
|,,MELT AWAY,14,HEARING VOICES,9
|,,MOONSHOT,1,TUGBOAT,9
|,,OBLIVIOUS,3,SORRY,8
|,,PARKING LOT,2,VICTORY GARDEN,8
|,,PICTURES,10,OBLIVIOUS,3
|,,PLASTIC BIRD,18,RAIN,3
|,,RAIN,3,TELL ME,3
|,,SNOWSTORM,25,FINAL DAY,2
Tugboat|Oblivious|Parking Lot|Don't Let Our Youth Go to Waste|Pictures|Flowers|It's Getting Late|Temperature's Rising|,,SORRY,8,PARKING LOT,2
Tugboat|Oblivious|Parking Lot|Don't Let Our Youth Go to Waste|When Will You Come Home|I Wanna Live|Flowers|Temperature's Rising|,,SPOOK,13,BACK IN YOUR LIFE,1
|,,STRANGE,1,BUZZ IN MY HEAD,1
|,,SUBMISSION,1,I CAN'T BELIEVE IT'S ME,1
|,,SUMMERTIME,17,I WANNA LIVE,1
|,,TELL ME,3,IT'S GETTING LATE,1
