Setlists,all songs,Unique songs,Count,Song,Total
Anesthesia|I Can't Wait|Time to Quit|Crazy People|Slash Your Tires|I Want Everything|Slide|Hey Sister|,,,779,23 MINUTES IN BRUSSELS,359
|,,(UNKNOWN),3,FRIENDLY ADVICE,302
Slide|Slash Your Tires|Anesthesia|Strange|Crazy People|Time to Quit|I Want Everything|That's What You Always Say|Hey Sister|I Can't Wait|Indian Summer|Temperature's Rising|,,1995,59,SIDESHOW BY THE SEASHORE,285
Slide|Slash Your Tires|Anesthesia|Strange|Crazy People|Time to Quit|I Want Everything|That's What You Always Say|Hey Sister|I Can't Wait|Indian Summer|Temperature's Rising|,,23 MINUTES IN BRUSSELS,359,CHINATOWN,272
Crazy People|Slide|That's What You Always Say|I Can't Wait|,,ANESTHESIA,101,MOON PALACE,251
|,,ASTRONAUT,33,TIGER LILY,229
|,,BEAUTIFUL VIEW,22,LOST IN SPACE,226
|,,BEGGAR'S BLISS,33,BEWITCHED,219
Slash Your Tires|I Can't Wait|Indian Summer|Tugboat|Just My Imagination (Running Away With Me)|That's What You Always Say|,,BEWITCHED,219,PUP TENT,209
|,,BLACK CHAMPAGNE,40,CALIFORNIA (ALL THE WAY),202
|,,BLACK POSTCARDS,116,MALIBU LOVE NEST,199
|,,BLUE THUNDER,24,TRACY I LOVE YOU,195
|,,BOB LE FLAMBEUR,1,INDIAN SUMMER,185
|,,BOBBY PERU,84,BONNIE AND CLYDE,146
|,,BONNIE AND CLYDE,146,SLIDE,133
|,,BROKEN CHAIR,54,TIME TO QUIT,130
Slide|Crazy People|Anesthesia|We're Both Confused|I Can't Wait|Temperature's Rising|Hey Sister|Slash Your Tires|Time to Quit|Indian Summer|,,BUFFALO BOOTS,1,BLACK POSTCARDS,116
Slide|Crazy People|Anesthesia|Ride Into the Sun|I Can't Wait|Temperature's Rising|Hey Sister|Slash Your Tires|Smile|Time to Quit|Indian Summer|I Want Everything|That's What You Always Say|,,CALIFORNIA (ALL THE WAY),202,ANESTHESIA,101
Slide|Crazy People|Slash Your Tires|Smile|I Can't Wait|Hey Sister|Temperature's Rising|Anesthesia|Time to Quit|Indian Summer|,,CALIFORNIA BLUE,6,LOVEDUST,96
Slide|Goodbye|Slash Your Tires|Smile|I Can't Wait|Hey Sister|Temperature's Rising|Anesthesia|Time to Quit|Indian Summer|,,CAPTAIN PENTAGON,1,STILL AT HOME,91
|,,CAR WASH HAIR,45,BOBBY PERU,84
|,,CEREMONY,1,SPEEDBUMPS,84
Anesthesia|Time|I Want Everything|,,CHINATOWN,272,THIS TIME AROUND,84
Anesthesia|Time|I Want Everything|Smile|We're Both Confused|,,CINDY TASTES OF BARBECUE,42,FUZZY WUZZY,82
|,,CITY KITTY,3,FREAKIN' AND PEAKIN',81
|,,CRAZY PEOPLE,22,FOUR THOUSAND DAYS,79
|,,DEAR DIARY,72,SLASH YOUR TIRES,75
|,,DOUBLE FEATURE,51,SUPERFREAKY MEMORIES,75
|,,DREAM BABY DREAM,1,WEIRD AND WOOZY,75
|,,DRUNKEN WHISTLER,1,DEAR DIARY,72
|,,EGG NOG,37,FIRE IN CAIRO,67
|,,EVERYBODY'S TALKIN',23,1995,59
|,,FEMME FATALE,15,GOING HOME,59
|,,FIRE IN CAIRO,67,HELLO LITTLE ONE,58
|,,FLOWERS,7,IHOP,58
|,,FLY INTO THE MYSTERY,1,BROKEN CHAIR,54
Slide|Anesthesia|Crazy People|We're Both Confused|Ride Into the Sun|Blue Thunder|Hey Sister|Slash Your Tires|Time to Quit|Indian Summer|,,FOUR THOUSAND DAYS,79,TUGBOAT,54
Slide|Anesthesia|Crazy People|We're Both Confused|Temperature's Rising|Hey Sister|Slash Your Tires|Time to Quit|Indian Summer|,,FOURTH OF JULY,33,DOUBLE FEATURE,51
Slide|Anesthesia|Crazy People|Slash Your Tires|We're Both Confused|I Want Everything|Smile|Hey Sister|Time to Quit|Indian Summer|,,FREAKIN AND PEAKIN,2,MERMAID EYES,51
|,,FREAKIN' AND PEAKIN',81,SEASON OF THE WITCH,47
|,,FRIENDLY ADVICE,302,I CAN'T WAIT,46
|,,FRIENDS,7,CAR WASH HAIR,45
|,,FUZZY WUZZY,82,RHYTHM KING,44
|,,GIN,19,I WANT EVERYTHING,43
|,,GOING HOME,59,CINDY TASTES OF BARBECUE,42
|,,GOODBYE,5,INTO THE FOLD,42
Slide|Anesthesia|Crazy People|We're Both Confused|Tugboat|Hey Sister|Time to Quit|Indian Summer|,,GREAT JONES STREET,21,KALAMAZOO,41
|,,GTX3,30,BLACK CHAMPAGNE,40
|,,HEDGEHOG,35,HEY SISTER,40
|,,HELLO LITTLE ONE,58,EGG NOG,37
|,,HEY SISTER,40,ONE FINE SUMMER MORNING,37
|,,HOLD ON (JOHN),10,MATH WIZ,36
Crazy People|Anesthesia|Ride Into the Sun|Friendly Advice|We're Both Confused|Going Home|Blue Thunder|Hey Sister|I Know You Tried|Smile|I Can't Wait|Time to Quit|Indian Summer|Slide|That's What You Always Say|When Will You Come Home|,,I CAN'T WAIT,46,HEDGEHOG,35
Anesthesia|We're Both Confused|Friendly Advice|Hey Sister|Slash Your Tires|Time to Quit|Indian Summer|,,I KNOW YOU TRIED,9,THAT'S WHAT YOU ALWAYS SAY,34
|,,I WANT EVERYTHING,43,ASTRONAUT,33
|,,I'M SO BORED WITH THE U. S. A.,2,BEGGAR'S BLISS,33
|,,I'M STICKING WITH YOU,3,FOURTH OF JULY,33
|,,I'M WAITING FOR THE MAN,5,RIDE INTO THE SUN,33
Slide|Crazy People|Friendly Advice|Blue Thunder|Hey Sister|I Can't Wait|That's What You Always Say|Time to Quit|Indian Summer|,,IHOP,58,STRANGE,31
|,,INDIAN SUMMER,185,GTX3,30
|,,INGRID SUPERSTAR,2,THE SLOW SONG,30
Great Jones Street|,,INSIDE YOUR HEART,9,WE'RE BOTH CONFUSED,30
Anesthesia|Going Home|Friendly Advice|Slide|Tiger Lily|This Time Around|We're Both Confused|Flowers|Slash Your Tires|Into The Fold|Time to Quit|Hold on (John)|Indian Summer|Thank You for Sending Me an Angel|Tugboat|,,INTO THE FOLD,42,BLUE THUNDER,24
|,,IT'S BRINGING YOU DOWN,2,MARQUEE MOON,24
Sleeping Pill|Slide|California (All The Way)|Friendly Advice|Tiger Lily|This Time Around|Slash Your Tires|Bewitched|Time to Quit|,,JUST MY IMAGINATION (RUNNING AWAY WITH ME),1,SWEDISH FISH,24
California (All The Way)|Slide|Friendly Advice|Anesthesia|Tiger Lily|This Time Around|Bewitched|Time to Quit|Indian Summer|,,KALAMAZOO,41,EVERYBODY'S TALKIN',23
Tiger Lily|Going Home|Bewitched|Hold on (John)|Friendly Advice|,,KILL FOR PEACE,3,BEAUTIFUL VIEW,22
Bewitched|Hold on (John)|Into The Fold|Hey Sister|,,LA POUPÉE QUI FAIT NON,1,CRAZY PEOPLE,22
Going Home|Anesthesia|Hold On (John)|Friendly Advice|Tiger Lily|This Time Around|We're Both Confused|Hey Sister|Bewitched|Time to Quit|Flowers|Indian Summer|,,LET ME DREAM IF I WANT TO,16,GREAT JONES STREET,21
California (All The Way)|Slide|Going Home|Slash Your Tires|Tiger Lily|This Time Around|Anesthesia|Friendly Advice|Hey Sister|We're Both Confused|I Can't Wait|Bewitched|That's What You Always Say|Hold on (John)|Time to Quit|,,LONESOME COWBOY BILL,8,SWEET CHILD O' MINE,20
|,,LOST IN SPACE,226,THANK YOU FOR SENDING ME AN ANGEL,20
|,,LOVEDUST,96,GIN,19
|,,MALIBU LOVE NEST,199,TEENAGE LIGHTNING,19
California (All The Way)|Slide|Going Home|Anesthesia|Tiger Lily|Thank You for Sending Me an Angel|Friendly Advice|We're Both Confused|This Time Around|That's What You Always Say|Slash Your Tires|Bewitched|Time to Quit|Indian Summer|Hey Sister|,,MARQUEE MOON,24,LET ME DREAM IF I WANT TO,16
|,,MASSACHUSETTS,4,FEMME FATALE,15
|,,MATH WIZ,36,THE OWL AND THE PUSSYCAT,15
California (All The Way)|Anesthesia|Going Home|Slide|Thank You for Sending Me an Angel|Tiger Lily|Friendly Advice|I Can't Wait|Slash Your Tires|That's What You Always Say|Time to Quit|Hold on (John)|Indian Summer|I Want Everything|,,MERMAID EYES,51,MOST OF THE TIME,14
Crazy People|California (All The Way)|Thank You for Sending Me an Angel|Tiger Lily|This Time Around|Hold on (John)|Friendly Advice|Time to Quit|,,MOON PALACE,251,SLEEPING PILL,14
Time|California (All The Way)|Thank You for Sending Me an Angel|Tiger Lily|Slash Your Tires|Friendly Advice|I Want Everything|That's What You Always Say|Time to Quit|,,MOST OF THE TIME,14,SEVEN STEPS TO SATAN,12
Sleeping Pill|California (All The Way)|Slide|Going Home|Anesthesia|Thank You for Sending Me an Angel|Tiger Lily|Hey Sister|Friendly Advice|Hold on (John)|This Time Around|Slash Your Tires|Into The Fold|That's What You Always Say|Time to Quit|Indian Summer|Ride Into the Sun|,,MOTEL BAMBI,1,HOLD ON (JOHN),10
|,,NEEDLES IN THE CAMEL'S EYE,2,SMILE,10
|,,NEON LIGHTS,6,I KNOW YOU TRIED,9
Hey Sister|California (All The Way)|Anesthesia|Going Home|Thank You for Sending Me an Angel|Tiger Lily|Slide|This Time Around|We're Both Confused|Crazy People|Friendly Advice|Into The Fold|That's What You Always Say|Time to Quit|Indian Summer|,,NEW SENSATIONS,9,INSIDE YOUR HEART,9
Sleeping Pill|This Time Around|Ride Into the Sun|Anesthesia|Going Home|Thank You for Sending Me an Angel|Tiger Lily|California (All The Way)|Hold On (John)|Slash Your Tires|Flowers|Friendly Advice|That's What You Always Say|Into The Fold|Indian Summer|,,OCEAN,3,NEW SENSATIONS,9
California (All The Way)|Slide|This Time Around|Anesthesia|Thank You For Sending Me an Angel|Tiger Lily|I Can't Wait|I Want Everything|Fourth of July|Slash Your Tires|Into The Fold|Bewitched|Friendly Advice|Time to Quit|Hold On (John)|Indian Summer||,,ONE FINE SUMMER MORNING,37,OUTDOOR MINER,9
|,,ONE TOGETHER,3,SATELLITE OF LOVE,9
California (All The Way)|Anesthesia|This Time Around|Going Home|Slide|Tiger Lily|Thank You for Sending Me an Angel|Hey Sister|I Can't Wait|Into The Fold|Fourth of July|Friendly Advice|That's What You Always Say|Time to Quit|,,OUTDOOR MINER,9,THE CORRIDORS OF POWER,9
|,,PICTURES,1,WALK ON THE WILD SIDE,9
|,,PUP TENT,209,LONESOME COWBOY BILL,8
California (All The Way)|Anesthesia|Ride Into The Sun|Slide|Thank You For Sending Me An Angel|Tiger Lily|Hey Sister|This Time Around|Outdoor Miner|Bewitched|Fourth of July|Into The Fold|Friendly Advice|Time to Quit|Slash Your Tires|Indian Summer|Sleeping Pill|,,RAIN,1,ROCK YOUR BABY,8
|,,RAINBOW BABE,3,SWEETNESS,8
It's Bringing You Down|California (All The Way)|Anesthesia|Thank You For Sending Me An Angel|Tiger Lily|Outdoor Miner|23 Minutes in Brussels|This Time Around|Chinatown|Time to Quit|Fourth of July|Friendly Advice|,,REMEMORIES,6,FLOWERS,7
It's Bringing You Down|Smile|Thank You for Sending Me an Angel|Crazy People|This Time Around|23 Minutes in Brussels|I Can't Wait|Bewitched|Outdoor Miner|Chinatown|Time to Quit|Tiger Lily|Fourth of July|That's What You Always Say|Friendly Advice|Into The Fold|Slash Your Tires|Slide|Sleeping Pill|,,RHYTHM KING,44,FRIENDS,7
|,,RIDE INTO THE SUN,33,TEMPERATURE'S RISING,7
Sideshow By The Seashore|California (All The Way)|Anesthesia|Chinatown|Freakin' and Peakin'|Tiger Lily|Thank You for Sending Me an Angel|Bonnie and Clyde|23 Minutes in Brussels|Into The Fold|Time to Quit|Friendly Advice|Indian Summer|,,ROCK YOUR BABY,8,CALIFORNIA BLUE,6
Friendly Advice|Chinatown|California (All The Way)|Sideshow By The Seashore|Tiger Lily|Moon Palace|Time to Quit|Kalamazoo|Slide|Double Feature|Ride Into the Sun|Hedgehog|23 Minutes in Brussels|Egg Nog|,,ROMANTICA,2,NEON LIGHTS,6
|,,SATELLITE OF LOVE,9,REMEMORIES,6
Friendly Advice|California (All The Way)|Chinatown|Sideshow By The Seashore|Slash Your Tires|Rhythm King|Tiger Lily|Moon Palace|This Time Around|Kalamazoo|Hedgehog|Time to Quit|23 Minutes in Brussels|Indian Summer|,,SEASON OF THE WITCH,47,TIME,6
Friendly Advice|Moon Palace|Double Feature|Slide|Thank You for Sending Me an Angel|Tiger Lily|Sideshow By The Seashore|Chinatown|We're Both Confused|Into The Fold|Hedgehog|California (All The Way)|Time to Quit|23 Minutes in Brussels|Strange|Slash Your Tires|,,SEVEN STEPS TO SATAN,12,GOODBYE,5
|,,SIDESHOW BY THE SEASHORE,285,I'M WAITING FOR THE MAN,5
|,,SLASH YOUR TIRES,75,WHAT GOES ON,5
|,,SLEEPING PILL,14,MASSACHUSETTS,4
|,,SLIDE,133,SWEET CHILD O MINE,4
|,,SLIDE RULE,2,(UNKNOWN),3
|,,SMILE,10,CITY KITTY,3
|,,SNOWSTORM,2,I'M STICKING WITH YOU,3
|,,SPEEDBUMPS,84,KILL FOR PEACE,3
|,,STAR SPANGLED MAN,2,OCEAN,3
|,,STILL AT HOME,91,ONE TOGETHER,3
|,,STRANGE,31,RAINBOW BABE,3
|,,SUPERFREAKY MEMORIES,75,THE RUSTLER,3
|,,SWEDISH FISH,24,US OUT OF MY PANTS,3
|,,SWEET CHILD O MINE,4,FREAKIN AND PEAKIN,2
Friendly Advice|Sideshow By The Seashore|Slide|Chinatown|This Time Around|Moon Palace|Tiger Lily|Freakin' and Peakin'|Lost In Space|California (All The Way)|Hedgehog|Time to Quit|,,SWEET CHILD O' MINE,20,I'M SO BORED WITH THE U. S. A.,2
Friendly Advice|Sideshow By The Seashore|This Time Around|Moon Palace|Tiger Lily|Chinatown|California (All The Way)|Time to Quit|,,SWEETNESS,8,INGRID SUPERSTAR,2
Egg Nog|Slide|Friendly Advice|Sideshow By The Seashore|This Time Around|Moon Palace|Tiger Lily|Chinatown|California (All The Way)|Time to Quit|Lost In Space|Freakin' and Peakin'|Rain|,,TEENAGE LIGHTNING,19,IT'S BRINGING YOU DOWN,2
|,,TEMPERATURE'S RISING,7,NEEDLES IN THE CAMEL'S EYE,2
|,,THANK YOU FOR SENDING ME AN ANGEL,20,ROMANTICA,2
