section-slug,slug,artistname,year,date,disambiguate,date-added,event,venue,city,state,country,_venue-slug,show-slug,audio,support
damon-and-naomi,damon-and-naomi,Damon & Naomi,2026,2026-09-26,,2026-09-02 ,Something in The Hills,The Half Moon,Hudson,NY,USA,something-in-the-hills-the-half-moon-hudson-ny-usa,damon-and-naomi-2026-09-26-something-in-the-hills-the-half-moon-hudson-ny-usa,,
luna,luna,Luna,2026,2026-09-25,,2026-05-20 ,,Center for the Arts,Homer,NY,USA,center-for-the-arts-homer-ny-usa,luna-2026-09-25-center-for-the-arts-homer-ny-usa,,Constant Smiles
luna,luna,Luna,2026,2026-09-26,,2026-05-20 ,,Asbury Hall,Buffalo,NY,USA,asbury-hall-buffalo-ny-usa,luna-2026-09-26-asbury-hall-buffalo-ny-usa,,Constant Smiles
luna,luna,Luna,2026,2026-09-28,,2026-05-20 ,,Lee's Place,"Toronto,",,Canada,lees-place-toronto-canada,luna-2026-09-28-lees-place-toronto-canada,,Constant Smiles
luna,luna,Luna,2026,2026-09-29,,2026-05-20 ,,Andy Warhol Museum,Pittsburgh,PA,USA,andy-warhol-museum-pittsburgh-pa-usa,luna-2026-09-29-andy-warhol-museum-pittsburgh-pa-usa,,
luna,luna,Luna,2026,2026-09-30,,2026-05-20 ,,Grog Shop,Cleveland,OH,USA,grog-shop-cleveland-oh-usa,luna-2026-09-30-grog-shop-cleveland-oh-usa,,Sister Ray Davies
luna,luna,Luna,2026,2026-10-02,,2026-05-20 ,,City Winery,Nashville,TN,USA,city-winery-nashville-tn-usa,luna-2026-10-02-city-winery-nashville-tn-usa,,Sister Ray Davies
luna,luna,Luna,2026,2026-10-03,,2026-05-20 ,,Grey Eagle,Asheville,NC,USA,grey-eagle-asheville-nc-usa,luna-2026-10-03-grey-eagle-asheville-nc-usa,,Sister Ray Davies
luna,luna,Luna,2026,2026-10-04,,2026-05-20 ,,Haw River Ballroom,Saxapahaw,NC,USA,haw-river-ballroom-saxapahaw-nc-usa,luna-2026-10-04-haw-river-ballroom-saxapahaw-nc-usa,,Sister Ray Davies
luna,luna,Luna,2026,2026-10-06,,2026-05-20 ,,Terminal West,Atlanta,GA,USA,terminal-west-atlanta-ga-usa,luna-2026-10-06-terminal-west-atlanta-ga-usa,,Sister Ray Davies
luna,luna,Luna,2026,2026-10-07,,2026-05-20 ,,40 Watt,Athens,GA,USA,40-watt-athens-ga-usa,luna-2026-10-07-40-watt-athens-ga-usa,,Sister Ray Davies
