Title,Artist,AlbumArtist,Format,No. tracks,Country,Date,Label,CatNo,A,B,C,D,Sleeve,Notes,Track-index
Magic Hour,Damon & Naomi,,MASTER,,,,,,,,,,https://media.fullofwishes.co.uk/00-misc/damon-and-naomi-misc-mosaic.jpg,,
Heads Down,Damon & Naomi,Magic Hour,7,,,1993,Twisted Village,TW-1028,Heads Down,Heads Down,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_headsdown.jpg,,|headsdown|headsdown|||
Magic Moments,Damon & Naomi,Magic Hour,Digital,,,1993,Twisted Village,,Heads Down|Heads Down|Out Of Touch|Permanent Green Light|Jonathan and Charles|Something Else|America|Sunset Variations|Untitled,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magic-hour-magic-moments.jpg,,|headsdown|headsdown|outoftouch|permanentgreenlight|jonathanandcharles|somethingelse|america|sunsetvariations|untitled||||
After Tomorrow,Damon & Naomi,Magic Hour,10,,,1994,Ché,CHE 18,After Tomorrow|World of One,Permanent Green Light,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magic-hour-after-tomorrow.jpg,,|aftertomorrow|worldofone|permanentgreenlight|||
No Excess is Absurd,Damon & Naomi,Magic Hour,LP,,,1994,Ché,CHE 20LP,Isn't a Way|Always Leaving Never|Sally Free and Easy,After Tomorrow|Lower|The Last Mistake|Heads Down,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_noexcess.jpg,,|isntaway|alwaysleavingnever|sallyfreeandeasy|aftertomorrow|lower|thelastmistake|headsdown|||
No Excess is Absurd,Damon & Naomi,Magic Hour,CD,,,1994,Ché,CHE 20,Isn't a Way|Always Leaving Never|Sally Free and Easy|After Tomorrow|Lower|World of One|The Last Mistake|Heads Down,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_noexcess.jpg,,|isntaway|alwaysleavingnever|sallyfreeandeasy|aftertomorrow|lower|worldofone|thelastmistake|headsdown||||
No Excess is Absurd,Damon & Naomi,Magic Hour,CD,,,1994,Twisted Village,TW-1031,Isn't a Way|Always Leaving Never|Sally Free and Easy|After Tomorrow|Lower|World of One|The Last Mistake|Heads Down,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magic-hour-no-excess-box.jpg,,|isntaway|alwaysleavingnever|sallyfreeandeasy|aftertomorrow|lower|worldofone|thelastmistake|headsdown||||
I Had a Thought,Damon & Naomi,Magic Hour,7,,,1995,Ché,CHE 29,I Had a Thought,America,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magic-hour-i-had-a-thought.jpg,,|ihadathought|america|||
Will They Turn You On Or Will They Turn On You,Damon & Naomi,Magic Hour,LP,,,1995,Ché,CHE 30LP,Something Else|I Had a Thought|Chance Was|When I Remembered|Jonathan and Charles,Passing Words,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_willthey.jpg,,|somethingelse|ihadathought|chancewas|wheniremembered|jonathanandcharles|passingwords|||
Will They Turn You On Or Will They Turn On You,Damon & Naomi,Magic Hour,CD,,,1995,Twisted Village,TW-1035,Something Else|I Had a Thought|Chance Was|When I Remembered|Jonathan and Charles|Passing Words,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_willthey.jpg,,|somethingelse|ihadathought|chancewas|wheniremembered|jonathanandcharles|passingwords||||
Secession 96,Damon & Naomi,Magic Hour,LP,,,1996,Twisted Village,TW-1039,Sunset One|Rosebud|Sunrise|Sunset Two,,,,https://media.fullofwishes.co.uk/03-damon_and_naomi/sleeves/magichour_secession.jpg,,|sunsetone|rosebud|sunrise|sunsettwo||||
